1,1,激动,-6,no,当 我 看到 建议 被 采纳
1,2,激动,-5,no,部委 领导 写给 我 的 回信 时
1,3,激动,-4,no,我 知道 我 正在 为 这个 国家 的 发展 尽着 一份 力量
1,4,激动,-3,no,27 日
1,5,激动,-2,no,河北省 邢台 钢铁 有限公司 的 普通工人 白金 跃
1,6,激动,-1,no,拿 着 历年来 国家 各部委 反馈 给 他 的 感谢信
1,7,激动,0,no,激动 地 对 中新网 记者 说
1,8,激动,1,no,27 年来
1,9,激动,2,yes,国家公安部 国家 工商总局 国家科学技术委员会 科技部 卫生部 国家 发展 改革 委员会 等 部委 均 接受 并 采纳 过 的 我 的 建议
2,1,激动,-8,no,据 白金 跃 介绍
2,2,激动,-7,no,自 1988 年 至今
2,3,激动,-6,no,他 向 国家 各部委 提出 合理化 建议 1000 多条
2,4,激动,-5,no,并 多次 被 各部委 采纳
2,5,激动,-4,no,曾 荣获 国家 十二五 建言献策 个人 一等奖 河北省 建言献策 三等奖
2,6,激动,-3,no,当日
2,7,激动,-2,no,跟 中新网 记者 谈起 建言献策 的 初衷
2,8,激动,-1,yes,白金 跃 陷入 回忆
2,9,激动,0,no,并 略显 激动
3,1,心疼,-11,no,2002 年 6 月 3 日 上午
3,2,心疼,-10,no,当值 的 曾 友蔚 接报
3,3,心疼,-9,no,狮 山镇 小塘 走马 营村 一 树林 里 有 一名 年仅 2 岁 多 的 小男孩 躺 在 草地 上
3,4,心疼,-8,no,无人认领
3,5,心疼,-7,no,曾友蔚 立即 赶到 现场 处置
3,6,心疼,-6,no,只见 林中 的 草地 上
3,7,心疼,-5,no,小男孩 被包 在 一条 毛巾 里
3,8,心疼,-4,no,很 孱弱
3,9,心疼,-3,no,不 哭 也 不 闹
3,10,心疼,-2,no,小 眼珠子 静静地 望 着 眼前 的 警察 叔叔
3,11,心疼,-1,no,曾友蔚 打开 包裹 着 的 围巾
3,12,心疼,0,yes,小男孩 胸口 蔫 瘦 得 让 人 心疼
3,13,心疼,1,no,贴身 处有 一张 写 着 出生年月 的 纸条 和 一封 利 是
3,14,心疼,2,no,曾友蔚 意识 到
3,15,心疼,3,no,这 可能 是 个 因病 被 弃 的 孩子
4,1,无奈,-11,no,为 尽快 将 女子 救 下
4,2,无奈,-10,no,指挥员 立即 制订 了 救援 方案
4,3,无奈,-9,no,第一组 在 楼下 铺设 救生 气垫
4,4,无奈,-8,no,并 对 周围 无关 人员 进行 疏散
4,5,无奈,-7,no,另一组 队员 快速 爬 上 6 楼
4,6,无奈,-6,no,在 楼 内 对 女子 进行 劝说
4,7,无奈,-5,no,劝说 过程 中
4,8,无奈,-4,no,消防官兵 了解 到
4,9,无奈,-3,yes,该 女子 是 由于 对方 拖欠 工程款
4,10,无奈,-2,yes,家中 又 急需 用钱
4,11,无奈,-1,yes,生活 压力 大
4,12,无奈,0,no,无奈 才 选择 跳楼 轻生
5,1,自豪,-6,no,依靠 父母 支持 和 在 学校 打工 积攒 下来 的 钱
5,2,自豪,-5,no,两人 共 投资 50 多万元
5,3,自豪,-4,no,办起 了 养鸡场
5,4,自豪,-3,no,去年 11 月 开始 售卖 产品
5,5,自豪,-2,no,3 个 月 的 销售额 已经 达到 了 50 多万元
5,6,自豪,-1,yes,有 这样 一个 好 的 开头
5,7,自豪,0,no,两人 既 是 自豪 也 是 对 前景 充满 了 信心
6,1,欣喜,-5,no,2013 年 6 月
6,2,欣喜,-4,no,在 深圳 打拼 10 年 的 吴树梁 终于 拿到 大红 的 深圳市 户口
6,3,欣喜,-3,no,儿子 吴同 也 随之 迁入 深圳
6,4,欣喜,-2,no,但 妻子 丁维清 却 必须 等候 吴树梁 入户 满 两年 才能 随迁
6,5,欣喜,-1,no,半年 后
6,6,欣喜,0,yes,当初 获得 入户 指标 的 那份 欣喜
6,7,欣喜,1,no,因为 老 吴 患上 肺癌 晚期 的 噩耗 而 荡然无存
6,8,欣喜,2,no,取而代之 的
6,9,欣喜,3,no,是 他 对 自己 生存期 的 忧虑
6,10,欣喜,4,no,医生 的 判决 是 36 个 月
6,11,欣喜,5,no,这 意味着
6,12,欣喜,6,no,老 吴 可能 等 不到 妻子 随 迁入 户 深圳
7,1,忧虑,-8,no,2013 年 6 月
7,2,忧虑,-7,no,在 深圳 打拼 10 年 的 吴树梁 终于 拿到 大红 的 深圳市 户口
7,3,忧虑,-6,no,儿子 吴同 也 随之 迁入 深圳
7,4,忧虑,-5,no,但 妻子 丁维清 却 必须 等候 吴树梁 入户 满 两年 才能 随迁
7,5,忧虑,-4,no,半年 后
7,6,忧虑,-3,no,当初 获得 入户 指标 的 那份 欣喜
7,7,忧虑,-2,no,因为 老 吴 患上 肺癌 晚期 的 噩耗 而 荡然无存
7,8,忧虑,-1,no,取而代之 的
7,9,忧虑,0,no,是 他 对 自己 生存期 的 忧虑
7,10,忧虑,1,no,医生 的 判决 是 36 个 月
7,11,忧虑,2,no,这 意味着
7,12,忧虑,3,yes,老 吴 可能 等 不到 妻子 随 迁入 户 深圳
8,1,生不如死,0,no,生不如死 是 老 吴 患癌 后 常有 的 想法
8,2,生不如死,1,yes,由于 大面积 骨转移
8,3,生不如死,2,yes,老 吴 每天 都 在 剧痛 里 挣扎
8,4,生不如死,3,no,从 2012 年 10 月 到 现在
8,5,生不如死,4,no,老 吴 已经 和 晚期 肺癌 搏斗 了 30 个 月
8,6,生不如死,5,no,这个 时间 长度
8,7,生不如死,6,no,比 医生 最初 给 他 的 死亡 判决 已经 超出 了 近 10 倍
8,8,生不如死,7,no,深圳 宁养院 的 医生 王劲 也 感到 惊诧
9,1,惊诧,-7,no,生不如死 是 老 吴 患癌 后 常有 的 想法
9,2,惊诧,-6,no,由于 大面积 骨转移
9,3,惊诧,-5,no,老 吴 每天 都 在 剧痛 里 挣扎
9,4,惊诧,-4,no,从 2012 年 10 月 到 现在
9,5,惊诧,-3,yes,老 吴 已经 和 晚期 肺癌 搏斗 了 30 个 月
9,6,惊诧,-2,no,这个 时间 长度
9,7,惊诧,-1,yes,比 医生 最初 给 他 的 死亡 判决 已经 超出 了 近 10 倍
9,8,惊诧,0,no,深圳 宁养院 的 医生 王劲 也 感到 惊诧
10,1,担心,-4,no,为了 坚持 到 妻子 入户
10,2,担心,-3,no,老 吴 已经 用尽 了 全力
10,3,担心,-2,no,老 吴 因为 其 抗癌 事迹 广为人知
10,4,担心,-1,yes,如果 老 吴 长时间 不 更新 微博
10,5,担心,0,no,就 会 有 网友 担心 老 吴 是不是 去 了
10,6,担心,1,no,2013 年底
10,7,担心,2,no,老 吴 两个 多月 没有 更新 微博
10,8,担心,3,no,有 网友 担心 地问 他 近况 如何
10,9,担心,4,no,看到 网友 的 发问
10,10,担心,5,no,正在 经历 靶向 药 耐药性 剧痛 期 的 他
